,filename,Rating_Valence,Rating_Arousal,F0,F1-Mean,F2-Mean,F3-Mean,F1 - Bandwidth,F2 - Bandwidth,F3 - Bandwidth+,Intensity,Intensity - SD,Spectral Centroid,Spectral Centroid - SD
0,107,2.66666667,3.08333333,100.619587,915.02,1990.9,2853.99,251.56,361.52,541.17,70.41,12.93,514.729427,992.242798
1,722,3.21428571,3.5,82.7770024,872.47,1940.0,2813.47,238.32,338.32,336.72,70.35,7.63,655.25204,1017.29389
2,881,3.4,2.45454545,84.7338014,604.58,1448.94,2736.76,205.3,178.0,208.81,70.64,5.64,410.430846,447.74127
3,232,3.16666667,3.38461538,83.2570504,858.8,1764.25,2993.48,215.49,541.61,342.36,70.43,11.87,405.123548,541.677327
4,1062,3.0,3.46153846,95.1833772,946.12,2142.69,2872.15,378.55,660.73,708.62,70.47,11.17,1437.35091,3008.07517
5,364,2.46153846,3.33333333,82.6366469,948.46,1896.35,2854.6,410.69,539.63,408.44,70.53,11.83,252.249824,441.912526
6,1016,3.08333333,3.4,85.8139202,805.28,1645.52,2799.2,383.55,495.35,441.28,70.41,12.06,1123.90936,2156.14637
7,77,2.73333333,3.11764706,80.9360392,634.7,1663.82,2843.41,257.68,408.62,350.35,70.35,10.8,342.810403,465.028818
8,612,3.33333333,2.91666667,85.1210433,916.47,1962.86,2736.43,126.02,320.16,221.39,70.51,11.7,455.326894,574.524348
9,590,2.57142857,2.41176471,79.6483245,826.65,1721.61,2705.43,251.29,364.97,338.92,70.47,11.05,669.088553,1601.74566
10,657,3.0,2.4,79.6796512,892.81,1971.71,2630.43,208.69,563.69,279.63,70.68,12.1,379.557373,612.772249
11,617,2.53333333,3.0,90.5550652,742.63,1568.97,2715.99,158.89,278.26,245.06,70.4,10.04,627.880067,1022.43343
12,535,3.11111111,2.35294118,89.7015617,648.74,1656.31,2673.9,228.69,556.2,578.04,70.31,6.76,220.862593,221.283507
13,103,2.85714286,2.2,78.4092287,674.37,1479.24,2811.3,197.71,673.31,111.84,70.72,12.75,380.721585,270.822909
14,1009,2.33333333,4.0,84.72326,1034.23,2065.39,2920.25,480.73,632.73,630.32,70.43,12.69,2493.71695,3313.67309
15,221,2.36363636,3.14285714,80.722269,1156.01,2349.24,2807.86,511.23,410.41,560.88,70.49,13.0,1334.6364,2462.53026
16,759,2.44444444,3.54545455,76.111989,1081.46,1952.63,2796.22,305.93,230.8,347.74,70.5,12.1,593.228426,871.677467
17,496,2.70588235,3.07692308,79.3978287,754.51,2018.12,2952.83,222.37,562.34,308.71,70.39,11.11,460.446399,1245.70016
18,391,2.29411765,3.0,79.7181153,906.62,1958.21,2612.82,335.73,435.38,701.86,70.51,10.69,676.610435,1312.02098
19,750,2.70588235,3.23529412,84.7484446,853.19,1553.8,2762.81,309.41,287.42,324.2,70.33,13.62,607.362359,549.185605
20,830,3.0,3.11111111,88.0615557,847.1,1925.75,2766.79,344.58,432.52,373.84,70.37,11.26,631.178204,1366.99003
21,407,3.0,2.46153846,79.2192661,488.42,1644.4,2733.27,112.84,221.54,280.57,70.52,8.39,385.813391,416.113866
22,721,2.33333333,3.82352941,83.15158,951.85,1951.23,2901.91,417.06,461.01,712.27,70.34,11.84,502.78184,1100.73847
23,734,2.2,3.58823529,79.6294972,1043.66,2083.94,2813.79,301.72,546.6,485.74,70.39,8.88,1499.06713,2513.36923
24,682,3.33333333,2.0,81.9948502,923.91,2191.85,3031.86,224.82,405.0,671.52,70.54,9.19,602.901146,1158.63573
25,311,3.27777778,2.69230769,85.2112457,651.14,1712.2,2804.65,276.45,532.24,423.5,70.48,9.72,399.802129,1231.48906
26,47,2.53846154,3.1875,82.3644964,657.35,1779.22,2791.64,214.34,455.49,317.34,70.39,8.5,429.788684,1373.95497
27,853,2.61538462,2.76470588,87.6565153,949.42,1923.53,2898.8,360.13,647.72,625.14,70.41,10.44,929.135126,1976.98815
28,665,2.84615385,3.5,84.2524412,965.74,2094.93,2815.52,332.97,466.39,385.58,70.42,9.64,1310.98982,2570.7372
29,288,2.58333333,2.13333333,90.4015303,611.97,1979.33,2641.9,221.98,476.26,471.37,70.52,12.86,226.389737,355.843059
30,879,2.58823529,2.38461538,92.1513987,707.82,1685.55,2717.49,341.07,310.16,416.58,70.4,9.39,283.446973,612.566659
31,1078,2.93333333,3.58823529,87.6189691,941.64,2005.98,2895.5,389.23,702.83,359.82,70.47,9.85,1667.63912,2906.50762
32,1058,3.0,3.38461538,96.0327944,888.58,2005.56,2981.99,301.62,623.25,551.81,70.53,14.2,1357.53737,2925.37762
33,675,2.4,2.94117647,88.3941541,1027.21,2140.58,2898.52,413.02,587.5,615.48,70.43,11.19,733.161524,1631.33078
34,606,2.88888889,1.82352941,85.0037024,588.55,2088.13,3071.92,63.01,482.99,267.6,70.62,10.43,215.883498,469.933247
35,421,2.9,3.0,80.9883344,823.39,2109.97,2828.35,401.4,540.6,407.85,70.49,11.19,449.519064,784.800254
36,194,3.44444444,2.125,78.5906279,754.41,1797.95,2608.87,287.22,410.81,279.22,70.42,10.99,555.691826,555.715908
37,430,2.93333333,2.08333333,78.4206646,577.62,1452.08,2635.14,198.89,494.47,183.86,70.65,9.29,499.174396,497.593231
38,40,2.88235294,3.0,83.234679,995.42,2272.77,2922.87,388.45,410.11,590.33,70.36,8.83,1070.35963,1811.65345
